[rosmaster.main][INFO] 2021-09-09 13:54:25,580: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-09-09 13:54:25,580: Starting ROS Master Node
[xmlrpc][INFO] 2021-09-09 13:54:25,580: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-09-09 13:54:25,581: Started XML-RPC server [http://wng:11311/]
[xmlrpc][INFO] 2021-09-09 13:54:25,581: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-09-09 13:54:25,581: Master initialized: port[11311], uri[http://wng:11311/]
[rosmaster.master][INFO] 2021-09-09 13:54:25,639: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,640: +PARAM [/roslaunch/uris/host_wng__34683] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,691: +SERVICE [/rosout/get_loggers] /rosout http://wng:42107/
[rosmaster.master][INFO] 2021-09-09 13:54:25,691: +SERVICE [/rosout/set_logger_level] /rosout http://wng:42107/
[rosmaster.master][INFO] 2021-09-09 13:54:25,692: +PUB [/rosout_agg] /rosout http://wng:42107/
[rosmaster.master][INFO] 2021-09-09 13:54:25,693: +SUB [/rosout] /rosout http://wng:42107/
[rosmaster.master][INFO] 2021-09-09 13:54:25,771: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,771: +PARAM [/move_group/panda_arm/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,772: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,772: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,772: +PARAM [/robot_description_planning/joint_limits/panda_joint3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,772: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,772: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,772: +PARAM [/move_group/planner_configs/SPARSkConfigDefault/sparse_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,772: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,773: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,773: +PARAM [/move_group/planner_configs/BFMTkConfigDefault/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 13:54:25,773: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/goal_bias] by /roslaunch
