[rosmaster.main][INFO] 2022-01-11 16:43:07,631: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-01-11 16:43:07,631: Starting ROS Master Node
[xmlrpc][INFO] 2022-01-11 16:43:07,632: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-01-11 16:43:07,632: Started XML-RPC server [http://wng:11311/]
[rosmaster.master][INFO] 2022-01-11 16:43:07,632: Master initialized: port[11311], uri[http://wng:11311/]
[xmlrpc][INFO] 2022-01-11 16:43:07,632: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-01-11 16:43:07,663: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,664: +PARAM [/roslaunch/uris/host_wng__38025] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,715: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/move_group/manipulator/longest_valid_segment_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,716: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,717: +SERVICE [/rosout/get_loggers] /rosout http://wng:46241/
[rosmaster.master][INFO] 2022-01-11 16:43:07,717: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,717: +SERVICE [/rosout/set_logger_level] /rosout http://wng:46241/
[rosmaster.master][INFO] 2022-01-11 16:43:07,717: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,718: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,718: +PARAM [/robot_description_planning/joint_limits/wrist_1_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,718: +PARAM [/move_group/planner_configs/RRTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,718: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,718: +PUB [/rosout_agg] /rosout http://wng:46241/
[rosmaster.master][INFO] 2022-01-11 16:43:07,718: +PARAM [/move_group/planner_configs/SBLkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,719: +PARAM [/move_group/manipulator/default_planner_config] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,719: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,720: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/frountierNodeRatio] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,720: +PARAM [/move_group/endeffector/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,720: +SUB [/rosout] /rosout http://wng:46241/
[rosmaster.master][INFO] 2022-01-11 16:43:07,720: +PARAM [/move_group/moveit_controller_manager] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,721: +PARAM [/move_group/planning_plugin] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,721: +PARAM [/robot_description_planning/joint_limits/wrist_1_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:43:07,721: +PARAM [/robot_description_planning/joint_limits/wrist_2_joint/max_acceleration] by /roslaunch
