[rosmaster.main][INFO] 2022-01-14 10:35:09,931: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-01-14 10:35:09,931: Starting ROS Master Node
[xmlrpc][INFO] 2022-01-14 10:35:09,934: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-01-14 10:35:09,934: Started XML-RPC server [http://wng:11311/]
[xmlrpc][INFO] 2022-01-14 10:35:09,934: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-01-14 10:35:09,934: Master initialized: port[11311], uri[http://wng:11311/]
[rosmaster.master][INFO] 2022-01-14 10:35:10,036: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:35:10,037: +PARAM [/roslaunch/uris/host_wng__33561] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:35:10,092: +SERVICE [/rosout/get_loggers] /rosout http://wng:35037/
[rosmaster.master][INFO] 2022-01-14 10:35:10,093: +SERVICE [/rosout/set_logger_level] /rosout http://wng:35037/
[rosmaster.master][INFO] 2022-01-14 10:35:10,094: +PUB [/rosout_agg] /rosout http://wng:35037/
[rosmaster.master][INFO] 2022-01-14 10:35:10,095: +SUB [/rosout] /rosout http://wng:35037/
[rosmaster.master][INFO] 2022-01-14 10:35:10,135: +PARAM [/move_group/hardware_interface/joints] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:35:10,135: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:35:10,135: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:35:10,135: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:35:10,135: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:35:10,135: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
