[rosmaster.main][INFO] 2022-01-11 17:20:10,017: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-01-11 17:20:10,017: Starting ROS Master Node
[xmlrpc][INFO] 2022-01-11 17:20:10,017: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-01-11 17:20:10,017: Started XML-RPC server [http://wng:11311/]
[rosmaster.master][INFO] 2022-01-11 17:20:10,017: Master initialized: port[11311], uri[http://wng:11311/]
[xmlrpc][INFO] 2022-01-11 17:20:10,017: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-01-11 17:20:10,052: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,052: +PARAM [/roslaunch/uris/host_wng__46677] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,101: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,101: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,101: +PARAM [/move_group/manipulator/longest_valid_segment_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,101: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,101: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,101: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,101: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/rviz_wng_4794_5238361364003569612/manipulator/kinematics_solver_timeout] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,102: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,103: +PARAM [/move_group/planner_configs/RRTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,103: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,103: +PARAM [/move_group/planner_configs/SBLkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,103: +PARAM [/move_group/manipulator/default_planner_config] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,103: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/frountierNodeRatio] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,103: +PARAM [/move_group/endeffector/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,103: +PARAM [/move_group/moveit_controller_manager] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,103: +PARAM [/move_group/planning_plugin] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,103: +PARAM [/robot_description_planning/joint_limits/wrist_1_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,103: +PARAM [/robot_description_planning/joint_limits/wrist_2_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,104: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/max_states_failed] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,104: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,104: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,104: +PARAM [/move_group/trajectory_execution/allowed_goal_duration_margin] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,105: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,105: +PARAM [/robot_description_planning/joint_limits/wrist_1_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,105: +PARAM [/move_group/planner_configs/PRMstarkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,105: +PARAM [/move_group/trajectory_execution/allowed_execution_duration_scaling] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,105: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,105: +PARAM [/move_group/allow_trajectory_execution] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,105: +PARAM [/ROS_IP] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,105: +PARAM [/move_group/planner_configs/ESTkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/move_group/start_state_max_bounds_error] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/robot_description_kinematics/manipulator/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/move_group/max_range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/rviz_wng_4794_5238361364003569612/manipulator/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/init_temperature] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/move_group/moveit_manage_controllers] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/robot_description_planning/joint_limits/elbow_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/robot_description_kinematics/manipulator/kinematics_solver_search_resolution] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/robot_description_planning/joint_limits/wrist_2_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/move_group/planner_configs/ESTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/move_group/planner_configs/LBKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/move_group/jiggle_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,106: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,107: +PARAM [/move_group/planning_scene_monitor/publish_state_updates] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,107: +PARAM [/robot_description_planning/joint_limits/elbow_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,107: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,107: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,107: +PARAM [/move_group/planner_configs/SBLkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,107: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,107: +PARAM [/move_group/capabilities] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 17:20:10,107: +PARAM [/move_group/planner_configs/LBKPIECEkConfigDefault/range] by /roslaunch
