[rosmaster.main][INFO] 2022-01-11 16:46:23,839: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-01-11 16:46:23,839: Starting ROS Master Node
[xmlrpc][INFO] 2022-01-11 16:46:23,840: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-01-11 16:46:23,840: Started XML-RPC server [http://wng:11311/]
[rosmaster.master][INFO] 2022-01-11 16:46:23,840: Master initialized: port[11311], uri[http://wng:11311/]
[xmlrpc][INFO] 2022-01-11 16:46:23,840: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-01-11 16:46:23,876: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,876: +PARAM [/roslaunch/uris/host_wng__44217] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,928: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,928: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,928: +PARAM [/move_group/manipulator/longest_valid_segment_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,928: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,928: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,928: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,928: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,928: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,929: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,929: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,929: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,929: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,929: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,929: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,929: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,929: +SERVICE [/rosout/get_loggers] /rosout http://wng:39445/
[rosmaster.master][INFO] 2022-01-11 16:46:23,929: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,929: +PARAM [/rviz_wng_2775_8271196660067337297/manipulator/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,930: +SERVICE [/rosout/set_logger_level] /rosout http://wng:39445/
[rosmaster.master][INFO] 2022-01-11 16:46:23,930: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,930: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,930: +PARAM [/move_group/planner_configs/RRTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,930: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,930: +PARAM [/move_group/planner_configs/SBLkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,930: +PARAM [/move_group/manipulator/default_planner_config] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,930: +PUB [/rosout_agg] /rosout http://wng:39445/
[rosmaster.master][INFO] 2022-01-11 16:46:23,931: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/frountierNodeRatio] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,931: +PARAM [/move_group/endeffector/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,931: +PARAM [/move_group/moveit_controller_manager] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,931: +PARAM [/move_group/planning_plugin] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,931: +PARAM [/robot_description_planning/joint_limits/wrist_1_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,932: +PARAM [/robot_description_planning/joint_limits/wrist_2_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,932: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/max_states_failed] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,932: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,932: +SUB [/rosout] /rosout http://wng:39445/
[rosmaster.master][INFO] 2022-01-11 16:46:23,932: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/rviz_wng_2775_8271196660067337297/manipulator/kinematics_solver_timeout] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/move_group/trajectory_execution/allowed_goal_duration_margin] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/robot_description_planning/joint_limits/wrist_1_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/move_group/planner_configs/PRMstarkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/move_group/trajectory_execution/allowed_execution_duration_scaling] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/move_group/allow_trajectory_execution] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/ROS_IP] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/move_group/planner_configs/ESTkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/move_group/start_state_max_bounds_error] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/robot_description_kinematics/manipulator/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/move_group/max_range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/init_temperature] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,933: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/moveit_manage_controllers] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/robot_description_planning/joint_limits/elbow_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/robot_description_kinematics/manipulator/kinematics_solver_search_resolution] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/robot_description_planning/joint_limits/wrist_2_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/planner_configs/ESTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/planner_configs/LBKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/jiggle_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/planning_scene_monitor/publish_state_updates] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/robot_description_planning/joint_limits/elbow_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/planner_configs/SBLkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/capabilities] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/planner_configs/LBKPIECEkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/robot_description_kinematics/manipulator/kinematics_solver_timeout] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,934: +PARAM [/robot_description_planning/joint_limits/wrist_1_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,935: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,935: +PARAM [/move_group/planner_configs/LBKPIECEkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,935: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,935: +PARAM [/rviz_wng_2775_8271196660067337297/manipulator/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,935: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,935: +PARAM [/move_group/planner_configs/RRTConnectkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-11 16:46:23,935: +PARAM [/move_group/request_adapters] by /roslaunch
