[rosmaster.main][INFO] 2022-01-14 10:38:04,366: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-01-14 10:38:04,367: Starting ROS Master Node
[xmlrpc][INFO] 2022-01-14 10:38:04,369: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-01-14 10:38:04,369: Started XML-RPC server [http://wng:11311/]
[rosmaster.master][INFO] 2022-01-14 10:38:04,369: Master initialized: port[11311], uri[http://wng:11311/]
[xmlrpc][INFO] 2022-01-14 10:38:04,369: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-01-14 10:38:04,463: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,464: +PARAM [/roslaunch/uris/host_wng__45479] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,524: +SERVICE [/rosout/get_loggers] /rosout http://wng:34125/
[rosmaster.master][INFO] 2022-01-14 10:38:04,525: +SERVICE [/rosout/set_logger_level] /rosout http://wng:34125/
[rosmaster.master][INFO] 2022-01-14 10:38:04,526: +PUB [/rosout_agg] /rosout http://wng:34125/
[rosmaster.master][INFO] 2022-01-14 10:38:04,528: +SUB [/rosout] /rosout http://wng:34125/
[rosmaster.master][INFO] 2022-01-14 10:38:04,575: +PARAM [/move_group/hardware_interface/joints] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,575: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,575: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/rviz_wng_26525_2355276007076671921/arm/kinematics_solver_search_resolution] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/STRIDE/max_degree] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/TRRT/init_temperature] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/FMT/heuristics] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/BiEST/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/FMT/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/LazyPRM/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/BiTRRT/cost_threshold] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/EST/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,576: +PARAM [/move_group/planner_configs/SPARStwo/max_failures] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/KPIECE/failed_expansion_score_factor] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/RRTstar/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/BFMT/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/STRIDE/max_pts_per_leaf] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/BFMT/nearest_k] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/TRRT/min_temperature] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/sensors] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/SPARS/max_failures] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/rviz_wng_26525_2355276007076671921/arm/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/BFMT/heuristics] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/STRIDE/min_degree] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/BFMT/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/RRTConnect/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/robot_description_planning/cartesian_limits/max_trans_vel] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/robot_description_kinematics/arm/kinematics_solver_timeout] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/STRIDE/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planner_configs/BiTRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/moveit_controller_manager] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,577: +PARAM [/move_group/planning_plugin] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/robot_description_planning/joint_limits/wrist_1_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/BKPIECE/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/robot_description_planning/joint_limits/wrist_2_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/robot_description_planning/joint_limits/gripper_finger1_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/SPARS/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/moveit_sim_hw_interface/joint_model_group] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/SPARStwo/sparse_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/BFMT/balanced] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/TRRT/max_states_failed] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/PDST/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/KPIECE/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/BKPIECE/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/LazyPRM/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/LBTRRT/epsilon] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/SPARStwo/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/robot_description_planning/joint_limits/wrist_1_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/FMT/nearest_k] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/disable_capabilities] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/robot_description_planning/cartesian_limits/max_rot_vel] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/move_group/planner_configs/KPIECE/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,578: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,579: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,579: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,579: +PARAM [/move_group/planner_configs/BFMT/optimality] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,579: +PARAM [/move_group/planner_configs/PRM/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,579: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,579: +PARAM [/move_group/planner_configs/BiTRRT/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-14 10:38:04,579: +PARAM [/move_group/planner_configs/BKPIECE/min_valid_path_fraction] by /roslaunch
