[rosmaster.main][INFO] 2022-01-13 10:32:40,114: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-01-13 10:32:40,114: Starting ROS Master Node
[xmlrpc][INFO] 2022-01-13 10:32:40,115: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-01-13 10:32:40,115: Started XML-RPC server [http://wng:11311/]
[rosmaster.master][INFO] 2022-01-13 10:32:40,115: Master initialized: port[11311], uri[http://wng:11311/]
[xmlrpc][INFO] 2022-01-13 10:32:40,115: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-01-13 10:32:40,143: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,143: +PARAM [/roslaunch/uris/host_wng__45351] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,189: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,189: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,189: +PARAM [/move_group/manipulator/longest_valid_segment_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,189: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,189: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,189: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,190: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,190: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,190: +PARAM [/rviz_wng_13661_528490923180035239/manipulator/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,190: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,190: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,190: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,190: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,190: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,190: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,191: +SERVICE [/rosout/get_loggers] /rosout http://wng:39443/
[rosmaster.master][INFO] 2022-01-13 10:32:40,191: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,191: +SERVICE [/rosout/set_logger_level] /rosout http://wng:39443/
[rosmaster.master][INFO] 2022-01-13 10:32:40,191: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,192: +PARAM [/robot_description_planning/joint_limits/shoulder_lift_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,192: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,192: +PARAM [/move_group/planner_configs/RRTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,192: +PUB [/rosout_agg] /rosout http://wng:39443/
[rosmaster.master][INFO] 2022-01-13 10:32:40,192: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,193: +PARAM [/move_group/planner_configs/SBLkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,193: +PARAM [/move_group/manipulator/default_planner_config] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,193: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/frountierNodeRatio] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,194: +PARAM [/rviz_wng_13661_528490923180035239/manipulator/kinematics_solver_timeout] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,194: +PARAM [/move_group/endeffector/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,194: +SUB [/rosout] /rosout http://wng:39443/
[rosmaster.master][INFO] 2022-01-13 10:32:40,194: +PARAM [/move_group/moveit_controller_manager] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/move_group/planning_plugin] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/robot_description_planning/joint_limits/wrist_1_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/robot_description_planning/joint_limits/wrist_2_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/max_states_failed] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/move_group/trajectory_execution/allowed_goal_duration_margin] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/robot_description_planning/joint_limits/wrist_1_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/move_group/planner_configs/PRMstarkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/move_group/trajectory_execution/allowed_execution_duration_scaling] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/robot_description_planning/joint_limits/wrist_3_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/move_group/allow_trajectory_execution] by /roslaunch
[rosmaster.master][INFO] 2022-01-13 10:32:40,195: +PARAM [/ROS_IP] by /roslaunch
