[rosmaster.main][INFO] 2021-09-06 11:40:38,280: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-09-06 11:40:38,280: Starting ROS Master Node
[xmlrpc][INFO] 2021-09-06 11:40:38,280: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-09-06 11:40:38,280: Started XML-RPC server [http://wng:11311/]
[xmlrpc][INFO] 2021-09-06 11:40:38,280: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-09-06 11:40:38,280: Master initialized: port[11311], uri[http://wng:11311/]
[rosmaster.master][INFO] 2021-09-06 11:40:38,343: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,344: +PARAM [/roslaunch/uris/host_wng__44011] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,398: +SERVICE [/rosout/get_loggers] /rosout http://wng:40303/
[rosmaster.master][INFO] 2021-09-06 11:40:38,398: +SERVICE [/rosout/set_logger_level] /rosout http://wng:40303/
[rosmaster.master][INFO] 2021-09-06 11:40:38,398: +PUB [/rosout_agg] /rosout http://wng:40303/
[rosmaster.master][INFO] 2021-09-06 11:40:38,399: +SUB [/rosout] /rosout http://wng:40303/
[rosmaster.master][INFO] 2021-09-06 11:40:38,444: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,445: +PARAM [/move_group/panda_arm/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,445: +PARAM [/rviz_wng_316_8245652266858266996/panda_arm/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,445: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,445: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,445: +PARAM [/robot_description_planning/joint_limits/panda_joint3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,445: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,445: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,445: +PARAM [/move_group/planner_configs/SPARSkConfigDefault/sparse_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,445: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,445: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2021-09-06 11:40:38,445: +PARAM [/move_group/planner_configs/BFMTkConfigDefault/cache_cc] by /roslaunch
