[rosmaster.main][INFO] 2021-09-26 15:57:21,252: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-09-26 15:57:21,252: Starting ROS Master Node
[xmlrpc][INFO] 2021-09-26 15:57:21,252: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-09-26 15:57:21,252: Started XML-RPC server [http://wng:11311/]
[xmlrpc][INFO] 2021-09-26 15:57:21,252: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-09-26 15:57:21,252: Master initialized: port[11311], uri[http://wng:11311/]
[rosmaster.master][INFO] 2021-09-26 15:57:21,319: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-09-26 15:57:21,321: +PARAM [/roslaunch/uris/host_wng__33885] by /roslaunch
[rosmaster.master][INFO] 2021-09-26 15:57:21,392: +SERVICE [/rosout/get_loggers] /rosout http://wng:42107/
[rosmaster.master][INFO] 2021-09-26 15:57:21,392: +SERVICE [/rosout/set_logger_level] /rosout http://wng:42107/
[rosmaster.master][INFO] 2021-09-26 15:57:21,393: +PUB [/rosout_agg] /rosout http://wng:42107/
[rosmaster.master][INFO] 2021-09-26 15:57:21,394: +SUB [/rosout] /rosout http://wng:42107/
[rosmaster.master][INFO] 2021-09-26 15:57:21,440: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2021-09-26 15:57:21,441: +PARAM [/move_group/panda_arm/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2021-09-26 15:57:21,441: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2021-09-26 15:57:21,441: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2021-09-26 15:57:21,441: +PARAM [/robot_description_planning/joint_limits/panda_joint3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2021-09-26 15:57:21,441: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
